iterations,test-AUC-mean,test-AUC-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.7785435787388577,0.0452116713961142,0.668936479138642,0.0006244516632033947,0.6687517093661965,0.0006848619377262304
1,0.8109740838560582,0.046854622559353146,0.6472704270369785,0.0025615669186449456,0.6470263132244254,0.0023429085211444586
2,0.8465264113568833,0.03561410943979962,0.6235613831736136,0.0027663475035874306,0.6230830223400006,0.002453248662834564
3,0.8692578408715746,0.024687976189228522,0.6035808180084163,0.003377321805670668,0.6029887828930157,0.003391626070744004
4,0.867854077253219,0.026239398355576843,0.5840990403382458,0.00461967632016605,0.5831895262266442,0.004543928179182875
5,0.8749754044239022,0.026768260368117774,0.564403708669653,0.004583575622545535,0.5633689006777571,0.00434314976423887
6,0.87527847474414,0.02435345864169714,0.5460099304818635,0.004808722814165234,0.5448007912039337,0.00452233627966669
7,0.8818410366457577,0.02704409012917524,0.52827015490169,0.004990693888036177,0.5269139651884076,0.004328902066171516
8,0.8830861670518322,0.02651335993114,0.5118321420828157,0.005472097019938928,0.5104282172571948,0.004783650912076964
9,0.8841272697259821,0.02551876258916057,0.4956007071979608,0.0050097726098372285,0.49404134882648265,0.00440728924933419
10,0.8852576758005943,0.02682878965561004,0.4809159834836517,0.004538892137687795,0.479208073096545,0.004261521153954882
11,0.8883768570485309,0.026656358251864753,0.465613460775117,0.004522555385670452,0.4637837812012263,0.0038111197017398394
12,0.8881929679762297,0.028133075035283176,0.4507123420786092,0.0043463054751524,0.4487030964607793,0.004003433774222174
13,0.8882025420931001,0.027226054257453645,0.4378861278221934,0.005245462403152373,0.4358127643546374,0.004882751410386722
14,0.8884382634532848,0.026058942891576807,0.42635687655597654,0.00623082885316819,0.4241572137190035,0.006085233542162776
15,0.8896898316276,0.022255846634248084,0.41373898164618506,0.0058711477305922535,0.41131757321405005,0.005832876518559813
16,0.8902220204688016,0.02278464189243678,0.40346050281489887,0.0052626996081209885,0.40103444433278623,0.005095338309644189
17,0.890255034664906,0.021843969461641653,0.39241751101161604,0.005179702582276767,0.3898412694743914,0.005343303611566419
18,0.891409210960713,0.021478364263024657,0.382630049445361,0.005314138219065148,0.38007001441488003,0.005226658666057323
19,0.8919460217893695,0.02233752894603789,0.3733649591908851,0.004931237236825049,0.3707338113881555,0.0052356511576152915
20,0.8920168372400132,0.02249269273161397,0.3638250016660288,0.005507458012663717,0.36107659473095916,0.005633712265524501
21,0.8916847144272037,0.022869600479529503,0.35635454875681993,0.005060175218532254,0.35349760985009115,0.0051695466462745475
22,0.8936479035985474,0.02275869157108889,0.3470037912907553,0.00523512744756479,0.3439875664943608,0.004879501126211196
23,0.8942946517002313,0.023881754920069147,0.33826609145711495,0.005006206177389913,0.3352322579059692,0.004426917747330321
24,0.8950328491251238,0.023262055545777337,0.33019062593367754,0.004642520828610721,0.32707732252695015,0.003674748070287228
25,0.8958582040277321,0.02373166981037641,0.32319675117620783,0.004463229694837888,0.3199585209052116,0.0034212926544279075
26,0.8968476394849784,0.02339373082115246,0.31544325048018795,0.004102187715358363,0.3120615324813789,0.002923970654223263
27,0.8975231099372731,0.023304978092165734,0.30862860676575965,0.004207619541605349,0.30513446423129004,0.0031536042801398015
28,0.8965798943545724,0.02362696731867387,0.3019348893696204,0.0037900187177771403,0.2982673430921491,0.0029188583835915104
29,0.8975716408055463,0.024204427120241862,0.29570335808973625,0.0038228675327798677,0.29191039495074345,0.002962196345460428
30,0.8974986794321558,0.024184482024660593,0.2895033478781109,0.003278007892804447,0.28550029373207647,0.00285526416817345
31,0.8976967646087817,0.02413158918077429,0.28388014799994044,0.0033271793893346604,0.2797163390082832,0.0033982355511644855
32,0.8973956751403103,0.024537895268381085,0.2784509829002705,0.003147123938351967,0.27403566228378023,0.0039930888983201965
33,0.8983837900297127,0.023527163221837896,0.2737628183329174,0.0033386561744042347,0.2692683631642842,0.00434105035643973
34,0.8988621657312645,0.023889398796528443,0.26823709235374477,0.0036061455876676956,0.2635448462492689,0.004255359873411882
35,0.8995033014196105,0.024764982372998765,0.2633324514844986,0.003698536136471608,0.2584424287516305,0.004200015283002208
36,0.8995917794651701,0.025558071304743996,0.25880535581031344,0.003477275643301309,0.25376935202755746,0.003715477399010799
37,0.8998248596896665,0.025416891161979423,0.2542324996341159,0.003470939011301224,0.24896276073260787,0.003977696384231311
38,0.9002464509739188,0.025531708465314013,0.24998042898954162,0.0036131774413668237,0.24462899700101234,0.0034030934876713905
39,0.900454110267415,0.025542932216328966,0.24573354005160217,0.00374893372578501,0.24017750159573933,0.0034623709351527744
40,0.9007038626609443,0.026235535737186164,0.24175012521574737,0.0038283087634932815,0.2359915311415195,0.002908709921871631
41,0.9005255860019806,0.026181432377129603,0.23790756926709283,0.003704264060521955,0.23194631200362514,0.003238547100323664
42,0.9012314295146915,0.02607131588933449,0.23428233108227756,0.0037154161987283585,0.22819746326451495,0.002887941590424989
43,0.9022089798613404,0.026349820532723372,0.2305358478741173,0.0035668918296163474,0.22429131676163042,0.0026445962143725305
44,0.9031327170683392,0.026698897676954474,0.22682714565939102,0.0036462968579954705,0.22037912622959946,0.002612433979314403
45,0.9027923407065039,0.02661474272727943,0.22363803671713636,0.0035793446565150905,0.2169510350688711,0.0026349062362888286
46,0.903008253549026,0.027121374303328175,0.2207314061712292,0.0038361006000730904,0.21381588633469875,0.002773025508840674
47,0.9034777154176297,0.027853856675098307,0.21767473050593084,0.0034815915847701264,0.21046017681987145,0.003202358887835483
48,0.9043096731594586,0.027329415693537994,0.21464759301277855,0.003494269306110612,0.20718592519739273,0.0038581901938693685
49,0.9041317266424562,0.02742301430386172,0.21180021088145948,0.0034711905330259917,0.2041481619781349,0.004034330730902956
50,0.9046474083856058,0.027038029877197233,0.20891383230999105,0.0037933796438426597,0.20094823301194867,0.004273254189216718
