iterations,test-AUC-mean,test-AUC-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.7909163753547633,0.03462904019886049,0.6545986333350688,0.0006858562465179127,0.6543276898658752,0.0003846321028140496
1,0.8106253820335381,0.03473804767465762,0.619409330475066,0.0011306316114493677,0.6188854867787886,0.0006967932255395503
2,0.8178792592451278,0.03252911957184545,0.593581154869889,0.0012540764231065598,0.592980881275535,0.0006588342387766664
3,0.8181923878503211,0.034338916926894586,0.5647129122182113,0.001803056511756425,0.5640061724862281,0.0007520611589593161
4,0.8247052809278985,0.03545134882584678,0.5360478941231093,0.002244775879258928,0.5351571013643152,0.0011256184919589
5,0.8278927828419012,0.03291963091812763,0.5106263904135241,0.0026632405584391832,0.509472886125314,0.0011763143282288902
6,0.8348702353605502,0.032148356659792945,0.489824272668643,0.0027300564192588228,0.48850587164361664,0.0009643131796964167
7,0.8356628011691913,0.03073026925721297,0.4693864164083852,0.0028923008389726786,0.46786508684878647,0.0010883242269966867
8,0.8362182256382255,0.030883252747124702,0.4495312489301269,0.003068055997687646,0.44777143495426774,0.001166601165551498
9,0.8352493291089444,0.030930926767682956,0.4325931021035861,0.003200192099915955,0.43069670192324877,0.0012087540969618448
10,0.8350964821551361,0.03136239482226591,0.4193765466405807,0.0033558972958110172,0.41736204255323034,0.0011508129989949122
11,0.8345183250171486,0.032381374379719705,0.4044182249851616,0.003551052741950304,0.40217513583190545,0.001273172594501067
12,0.8358051925435085,0.031636416165304965,0.39139510774853187,0.0036219800539011,0.3890009503410805,0.001301172616415831
13,0.836920107673911,0.03115623935184804,0.3814833389953701,0.003564380175296855,0.37887225167884425,0.0014844645374897168
14,0.8364639338306477,0.03161301244468099,0.370087853636737,0.003745075659860214,0.36732829769819714,0.001546520615741333
15,0.8366628636235516,0.031599814229955725,0.36064011046703304,0.003262424557578297,0.35759856172265214,0.0022212754513283852
16,0.837510193859673,0.03171610487289487,0.35071426674596096,0.003394831581830386,0.34751434437612333,0.002214262357160692
17,0.8392912768167463,0.031224009675084714,0.3408803690344949,0.0035640477548854257,0.33750063378288975,0.002146421160618885
18,0.839570159904917,0.03147591444430364,0.3345305152012398,0.00355069501960128,0.3310469667782209,0.0020586853397962512
19,0.8398899889837118,0.031245259260406878,0.3285824776412856,0.003583603633437866,0.3248783159760368,0.0019999062681574737
20,0.839796976960735,0.03134226201881216,0.3227273820454725,0.003465496461821807,0.3188105395949279,0.0020891129129820894
21,0.8400301236826433,0.031226531434656875,0.3163136211731251,0.003626067872189664,0.31228306369442194,0.0020562321443152788
