iterations,test-AUC-mean,test-AUC-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.8022592783960537,0.012748544065578234,0.6718050242262359,0.0005327046403196109,0.6717520408383522,0.00043454671047745476
1,0.8405198698449394,0.01076189366217919,0.6509174245589674,0.0006075078135350311,0.6507835481152785,0.0005516373448211752
2,0.8510776661619488,0.010064335200577455,0.630697983123026,0.0010982982732376373,0.6304785964488475,0.001007338308451827
3,0.8611488531550295,0.007274622934104081,0.6108808366017529,0.0010124418642260332,0.610509487962929,0.0007994368880976229
4,0.8649260275873847,0.007861259849351328,0.5925046794857949,0.00144489980318172,0.5920084036646502,0.0012167623415522439
5,0.8679939512167477,0.007423953796360736,0.574919483234904,0.001542637645787305,0.5743361989048732,0.001170420543507861
6,0.8699904781524299,0.007240391089011454,0.5578111545132736,0.0016981373769966513,0.5571223935087085,0.0012500168779226721
7,0.8717530320197397,0.006706678603228486,0.5413884139898035,0.002033042437530792,0.5406105131078348,0.0014405291163528682
8,0.8724761223716087,0.007147708447197975,0.5259166974427334,0.001856229677452038,0.5250228000347463,0.001201150698481505
9,0.8737698730358361,0.006972724265723813,0.5111690154462323,0.0019467540919339465,0.5101590318139866,0.0011644699445873706
10,0.8747613202550157,0.007089169980146376,0.49763043103007903,0.002247544362418289,0.4965430707333727,0.001455077569598796
11,0.8759228381784252,0.007280268597113477,0.4847928324941412,0.0022717673980201356,0.48363148533189165,0.0015907604177574973
12,0.8767112802381754,0.007371070343652817,0.4721720491197872,0.0020244081814239164,0.4709496345124086,0.0012741549293117695
13,0.8768555833145696,0.007326663069768394,0.46040050659707765,0.0023399012350478693,0.45912576887536083,0.0014484056671264485
14,0.8772971760594235,0.007194908142175345,0.44874346214768873,0.0023556240964856608,0.4473919146482556,0.0014312683602385162
15,0.8775971833272033,0.006932681823979682,0.43757181727253613,0.0023784527556333667,0.43611354650901957,0.0014138716340041737
16,0.8777213586648681,0.006863036061776112,0.4272245936724631,0.00207951045141353,0.4256866951535837,0.0011869414357796898
17,0.8783354886923476,0.007045139577865549,0.41717755760639996,0.002139678710424795,0.41555104380919633,0.0013236395946061871
18,0.8781169333351476,0.007163146697794732,0.4077566915579399,0.002207886321396314,0.40604476983031323,0.0012789271662276436
19,0.8784410892272181,0.007201681126876862,0.39860048601890014,0.0020273976848503798,0.3967528300332917,0.0011045116533507095
20,0.8784172536549016,0.007090053592801818,0.3898693854726116,0.0018987289340268692,0.3879559689971452,0.0009823181210469316
21,0.878756915612539,0.007133181253343733,0.38115539652772296,0.0017216710413930697,0.37910930864068954,0.000864073237710395
22,0.8792064251751158,0.007221468425344806,0.373100057526369,0.002062116181074938,0.3709857437309277,0.0013079932429735043
23,0.8794231354471054,0.007202845290473976,0.3653866497662379,0.0021442744499887943,0.36313813487015867,0.001484514762303105
24,0.8797385713744775,0.007149837500499613,0.3578630599911348,0.0024579116378917443,0.35550795201702473,0.001567963117984908
25,0.8801387111975032,0.006790245805679786,0.35096154291750414,0.0025363757054076112,0.3485316440764771,0.0015270444842952562
26,0.8805951387133529,0.006595811913009792,0.34396960656993686,0.0025496756662856707,0.3414381415937462,0.001690312237976439
27,0.8809915771218652,0.006286815025936477,0.3373075221101799,0.0023268467073946203,0.3346672610036775,0.0017018340234800713
28,0.8814798245008761,0.006209381097344206,0.33147602525283193,0.0026906697769018034,0.3287569539570017,0.0024334348199094003
29,0.8819231411055746,0.005949253908493253,0.3255459113674147,0.002963879262528361,0.3227211501792179,0.0028039652578597677
30,0.8820258378537031,0.006019147293962379,0.32003425255913454,0.0024984174234096777,0.31711415408797555,0.0025354066399320883
31,0.8821959565338682,0.006030830390184119,0.3143939351999898,0.0023484585933327795,0.3113882114046674,0.0023508721841793575
32,0.8825312493133401,0.0060350380756177,0.3089076601514174,0.0024377935035490928,0.30581283770581397,0.002277824481722233
33,0.8829488925194642,0.005860364944182468,0.30381687616495495,0.0025110830551139155,0.3006090939446312,0.0024924780193352103
34,0.883100477336642,0.0059655460406069045,0.29898607754512513,0.0023988139553657514,0.2956606264783527,0.0023119201143196144
