iterations,test-AUC-mean,test-AUC-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.7571124988157341,0.05908862736863034,0.6592312058818156,0.0016370013386939456,0.65903421126452,0.0014905458627783572
1,0.8093605195820542,0.03632596191299093,0.6283992092291981,0.0023950030943409597,0.6280169380834454,0.002264790219963126
2,0.8159016611123591,0.03267594982606094,0.6012211924050159,0.0024898184434975668,0.6004297300953882,0.0025673204497177033
3,0.8284473855167171,0.020519675110216747,0.5740710548838952,0.0023984342481401097,0.5730779363118461,0.0022899336142723978
4,0.8361209690340982,0.022065106934642562,0.5481275892126909,0.0023195288055181513,0.5468346483126398,0.0019013047361523246
5,0.8348934392207921,0.025033386263331004,0.5261039498320829,0.00255852059205415,0.5244271047532656,0.001692682749365089
6,0.8334523305815423,0.026775163740623064,0.5058980537228279,0.0028979276746005167,0.5038500195867366,0.002034082773012366
7,0.8313964688613897,0.027675055737069167,0.48690414354108646,0.00354424254018143,0.48440124022924824,0.0025105439073507267
8,0.833009515794282,0.030910494217008522,0.4697690262483677,0.0032095328927560377,0.4670264178591368,0.0026600959280455748
9,0.8358990543855143,0.027767642272024346,0.4525402159275875,0.0032813682463935833,0.4497488377535731,0.003134218622415397
10,0.83606925318383,0.03066405772581502,0.4366076891887145,0.003411277191718488,0.4336406797231242,0.0030353340772991
11,0.8380204989375827,0.030848276081067248,0.4228854028480131,0.0033829061943009054,0.4197345542874712,0.0027720667400884043
12,0.8374731141455156,0.029571014225011166,0.4104913772564798,0.003284219761218625,0.4068326974303069,0.0030032467823801604
13,0.8373234933924003,0.032021439555813,0.39800048688486567,0.0035055660754969463,0.39387747147467683,0.003176735169555949
14,0.8380867966903358,0.03401773703980507,0.3874829371475276,0.004000730378828875,0.3830085006535292,0.003481165506467885
15,0.8392041766943455,0.03430524160705903,0.3761260081889522,0.004529462646745606,0.37127741875124287,0.0030631517762414366
16,0.8413917780950134,0.035076123248223866,0.36740015169239143,0.0049140444759428956,0.3625106347971302,0.0032245344969242112
17,0.8425636423804267,0.033705508986404516,0.358516968728403,0.005373230150956377,0.3532754531955831,0.0032437403186221167
18,0.8441339077928586,0.032343027403677865,0.35055176799815113,0.005612014011308528,0.34499444024736403,0.003441806220957041
19,0.8453602006689861,0.032897139116275016,0.34229766463494465,0.0061545094798466735,0.3364206813081353,0.0034194383264680808
20,0.8458858684406098,0.03291186870105295,0.3358235227095368,0.006332887914079484,0.329663769627741,0.003425342770399677
21,0.8456293182090839,0.03252778157359501,0.32949905364314636,0.006688232856670973,0.32284113297370787,0.003295080813375951
22,0.8461297735307924,0.033399439862547946,0.32350802526323486,0.007164405861609283,0.3163895513123553,0.0032962937889960014
23,0.8468430491444165,0.03365028708914645,0.31821717806264826,0.007103602996360193,0.3107310902594782,0.00339137108005802
24,0.8474937458684888,0.03358448483253131,0.31329972076142115,0.007222317065119387,0.30563695345490854,0.0028858873774912017
25,0.8480053306054287,0.034053843131966056,0.3080769209782706,0.007242108762666621,0.3000789481254926,0.002731096326128567
26,0.848756078672291,0.0336774856165207,0.30389509532336384,0.007118396298150258,0.2957013763329666,0.0028173346845052354
27,0.8489307058868683,0.032847079175421554,0.3002487355584998,0.006997122944323092,0.29185689181861596,0.0026555560938402514
28,0.8495110377604345,0.033129246210150454,0.2961267737884455,0.0072847355124777,0.2875520307120151,0.002614264165892713
29,0.8506770008456934,0.033607864688895865,0.2921402415855364,0.007731123017471537,0.2833431164454533,0.0023922417942791375
30,0.8515382553435551,0.03432010764319847,0.28902816759881617,0.007753018965122174,0.2799147246763779,0.002813393000512037
31,0.8523382051279986,0.03451012707159429,0.2854959481215599,0.008075303113964804,0.2760640864542277,0.002805759351559539
32,0.8529626574469724,0.03449999596501307,0.28231643802744205,0.00824171768809309,0.2726358316594969,0.003060954500409795
33,0.8534020220953819,0.03406031541196982,0.2794714233840303,0.008417659555797437,0.2695495606895219,0.003302080097358414
34,0.8540007265286557,0.034225184195833064,0.27698595078787336,0.008728700907081593,0.2668298251709606,0.003200872725865012
35,0.8550222856693498,0.03357050134108958,0.27455013725962635,0.009102760488246837,0.2642798981750052,0.0029482776131605484
36,0.8554897647222699,0.033187681735805157,0.2724607232584204,0.00902136692732806,0.26189915811671644,0.0031863733199351653
37,0.856485107638696,0.03284097093777457,0.27009147082769974,0.009291320478769783,0.25945669572865204,0.0030565874915267368
38,0.8564872728658589,0.03257633645677097,0.268189209394301,0.009727189126752748,0.2573618726394573,0.002818174891463765
39,0.8561229537697497,0.032958298140302454,0.2667143352675473,0.009780364720899512,0.25554200266282506,0.002909849069987682
40,0.8569307727156955,0.03257134025357246,0.2647114920541317,0.009890106303763736,0.2533067719107606,0.002948883420546057
41,0.8571650339230106,0.03222354878646869,0.26298234515780455,0.010024672424456926,0.25131351705768457,0.0029974572778720416
42,0.857098050772195,0.03176065922584945,0.2613013380229668,0.010204421743671636,0.2493039050340141,0.0028048239737928312
43,0.8574483505759758,0.03163380820124836,0.25974390948122883,0.010353071841562846,0.24737949155585567,0.0026675114972084663
44,0.8575397846233042,0.03151110867422783,0.2583688097709111,0.010366897914278266,0.24573543423098224,0.0025865766592840112
45,0.8572955366663473,0.031413996796319676,0.2569538489432193,0.010520176362016298,0.24385047560561118,0.002587154155180209
46,0.857193993081472,0.03150697825164107,0.2557249679053818,0.01053984425036295,0.2423752430010484,0.002568639011050368
47,0.8572381430496543,0.0314548028543705,0.2546557784857431,0.010542052858093362,0.24101419897535567,0.0027496482619545535
48,0.8571744214945127,0.030906886773966094,0.2536352230491045,0.010696028595772577,0.23969500657316417,0.0025612880130844963
49,0.8571223037319202,0.03087360487037836,0.25253987228738783,0.01077638652771907,0.23835143589187013,0.0025919589275265054
50,0.8572701095053405,0.03051237667079064,0.2514310452196324,0.010904315835701957,0.2368903632769283,0.00261502788004727
51,0.8570541725477379,0.030553163530297623,0.25052295421164883,0.01106630743120767,0.2355216241153543,0.0025634877209931815
52,0.8569844518305061,0.03027119120081748,0.24955916133537848,0.011166224754474964,0.2342314881333747,0.002441717812954668
53,0.8572115423583382,0.029904182821266587,0.24872067260843633,0.01127725973823956,0.2330117804331787,0.002412551579812332
54,0.8571145553454069,0.03030189247812589,0.24794806543317968,0.011503575013211266,0.23185235588181366,0.00237381435293435
55,0.8570051915799972,0.03078943560560093,0.2473015775542322,0.01170668480443885,0.23071373383448218,0.002439894364787183
56,0.8564231695275577,0.030883238825806167,0.24661693833834705,0.01203679170429941,0.22948305302233857,0.0024036980925986606
57,0.8567196083830726,0.031105220337393914,0.24583690051981266,0.01228828283751876,0.22844261096091878,0.002273036768865108
58,0.8570366890261429,0.03097374629333493,0.24512346070638288,0.012458666869436452,0.2273851126400645,0.0022288079299489713
59,0.8573321831528554,0.03101009051430526,0.24443283948572123,0.012519378913967096,0.22643845955117778,0.002218499288459456
60,0.8575450571225438,0.030997243724693754,0.2438730628599166,0.012525689359388135,0.22549189627750174,0.002289100017343128
61,0.8576573067392175,0.030721368330293396,0.24326749227910321,0.01255925803406922,0.22458980136162676,0.0023203354388862275
62,0.857615101248357,0.031000723981440284,0.24286653979301404,0.012729403298500492,0.22395643436771326,0.002309731768731697
63,0.8575661236354775,0.03150040012697799,0.24245598955880815,0.012868644856571226,0.22320950043151985,0.002236721741772495
64,0.8575809641977307,0.03142783166698483,0.242038451479429,0.012991520682951112,0.22241596349007317,0.002267037867759359
65,0.8575975982685696,0.03178735357172454,0.24157972971142067,0.013247297640777606,0.22164914117301288,0.002316377516162545
66,0.8580566130076811,0.0319310524676791,0.2411938034406711,0.013224530009715534,0.22097405296972505,0.0024164428137007704
67,0.8579889588847045,0.03182885126502851,0.2407533424893186,0.013296756410679778,0.2201930586145505,0.0024788114798778497
68,0.8584616191846507,0.031563070105686965,0.24029947562168635,0.013305727384122222,0.21944215457454347,0.002463113230471203
69,0.858650165045732,0.03175457984448882,0.239950384179912,0.01349547318310119,0.2188418655779377,0.0024931013750778158
70,0.8587524091255434,0.03217847832977102,0.23953208238282211,0.013622561062340546,0.21816664613942013,0.0024835165217027898
71,0.8587291767144748,0.03257180100790722,0.2392003590645678,0.01380820666614742,0.21757622495083068,0.0024604600874606453
72,0.8590146606075196,0.0324420930839288,0.23895039313309355,0.013935220372442299,0.21706501884315904,0.0024421038865982104
73,0.8591773089561097,0.03221744441955825,0.23854884884876246,0.01410341281230577,0.2164068305172729,0.0023476923205241087
74,0.8593177964361717,0.032108592716522,0.2382090735647942,0.01422899016112187,0.21581337903586859,0.002299941085858977
75,0.85940621848947,0.03213285577446437,0.2378873531810421,0.01431198253779292,0.21527012407649188,0.0022582709310180384
76,0.8594654062857208,0.031854350311210616,0.23754860284426269,0.014371730094644911,0.2146874460905226,0.0023808827235434022
77,0.8595722539055277,0.03176561117794718,0.23732672011162834,0.014423132035446075,0.21421494029138483,0.002412461157872222
78,0.8595257139345083,0.03160405094217311,0.23707494891995728,0.01447719163249787,0.21377046483086942,0.0024418227117819964
79,0.8594866445675275,0.031610845489937735,0.23685401574119558,0.014553735290177125,0.2133266995402027,0.0024374564206579453
80,0.8592587300858817,0.031698237925813874,0.2367563869759773,0.014561407305950087,0.21288767575668807,0.0024579372422111395
81,0.8592613945163323,0.03193867720795078,0.23656941345745058,0.014774418447637508,0.21244982763046005,0.0023838900753650263
82,0.8592048449826178,0.03171827882299761,0.23636704813069737,0.01482915335857748,0.21189325835217482,0.0023782755897902093
83,0.8590170955654914,0.031598360796002097,0.2362391651630545,0.014830522425267265,0.2113312037604433,0.0022904569454973854
84,0.858666273074397,0.03168040341899574,0.2361451327493239,0.014972194375928722,0.21077926217315782,0.002206806062359773
85,0.8585620637171267,0.03147151665054139,0.2360244340826947,0.015062867847454739,0.21028996710696352,0.002249160952289388
86,0.8588388075268047,0.03158610976645979,0.2357959601589124,0.015088873905066615,0.20981320278742346,0.002213032962913464
87,0.8586833540126954,0.03171238109883898,0.23573057718812995,0.01515664527760464,0.20939615956281177,0.0022436663967576437
88,0.8589627622528239,0.03182973491337945,0.2354829671350708,0.015339373784737577,0.20895235782052862,0.002182173889111247
89,0.8591146287497613,0.031707372530940456,0.23536108730375904,0.015365675715824556,0.20862638667897002,0.0021673926951317336
90,0.8590828803600274,0.031658301635527276,0.23521816608603396,0.01538822701444918,0.20823840819649803,0.002269476613974468
91,0.8591908223354287,0.03136811666128518,0.23500572651247817,0.015475588946009242,0.20789605206034595,0.002263290912771205
92,0.8591394775327655,0.03122319929967194,0.23488760721717675,0.01545950014803849,0.20756383803171458,0.0023329489117425136
93,0.8591905982307269,0.031479643265421735,0.2347524933107646,0.01551323495744,0.2072518267773451,0.0022878876160386955
94,0.8595946321690355,0.031279774167045436,0.2345293703303109,0.01558639307857727,0.20688708140533935,0.002279190946057652
95,0.8595524763301151,0.03144144157227293,0.23442917775175717,0.01566025140584125,0.20656827056261862,0.0023322543074961594
96,0.8593071816565875,0.03131804636804068,0.23435196202999747,0.015644168679734092,0.20619043351640948,0.002275859214768477
97,0.859422047393716,0.03138359594889765,0.23423044784891753,0.015683535988657894,0.20590190267373232,0.0022820163131242596
98,0.8592568332475832,0.03155311821687402,0.23415408227515325,0.015722271465946094,0.20557095748250784,0.0022913255819365977
99,0.8596203049058533,0.031641960650859946,0.2340252740981023,0.015791408569164406,0.20520056881876414,0.0022992182814341924
100,0.8599399761724367,0.03147176113708383,0.23383474602959886,0.01588754185305903,0.20487072512313106,0.0022854225701483886
101,0.8601454298609987,0.031618715212482745,0.23371052214744173,0.015971152065414072,0.2045775089334927,0.0022739235558844897
102,0.860075558175031,0.03143887779720472,0.23363094518554953,0.015981069378439496,0.20428083891264062,0.00232998319054459
103,0.860249935116992,0.03135418100619576,0.23354551255992123,0.016015039934280675,0.2039793330696352,0.002343866633318298
104,0.8601888551792476,0.031441272927533105,0.2334122627805848,0.016074153179466054,0.20365674392762984,0.0023679024909011503
105,0.8599725679741766,0.03135348796814714,0.23336508702828276,0.016141682509058054,0.20332238764247473,0.002445319153121988
106,0.8600383292846873,0.031221083585285737,0.23330461628269447,0.016082244829836532,0.20298554059778887,0.0023978024191552163
107,0.8599302618374921,0.03130996718801457,0.2332199562381124,0.016191335890095804,0.20262373529922978,0.002433317656813261
108,0.8600633048814297,0.03158192444468909,0.2331094159532892,0.016260514708686634,0.20231244418545158,0.0024912142891989645
109,0.8602186584206871,0.03131677112296773,0.2329952566124796,0.01622157454977271,0.20198696840009908,0.002557822936882912
110,0.8599962230977066,0.03151665122527458,0.2330321790528603,0.016326978947619284,0.2016816674915857,0.002559098846598278
111,0.8601512532283826,0.031475604769229185,0.23299449764687546,0.01642437679467371,0.20130896525587763,0.002577022195116691
112,0.8602671140172257,0.03137808990729666,0.2328982351468713,0.016506354476116876,0.20103964911452682,0.002449934059999771
113,0.8600636531159813,0.03161552064373126,0.23281946554946292,0.016586357175565003,0.20067213281621826,0.00242909782801899
114,0.8601742595218329,0.03137595882502346,0.23271824886300158,0.01653104487574691,0.20034076794552647,0.0024942291730610014
115,0.8603015764893502,0.03143881157690287,0.23259308699250264,0.016591515299369527,0.20002640283786138,0.002462473059755076
116,0.8603840221936121,0.031440893316178005,0.23255435804139193,0.016678991340062635,0.19967397475808846,0.0024659918824802497
117,0.8603596444330647,0.031377182593335044,0.23247275732685052,0.016768086747278168,0.19934285243735808,0.0024409492497747755
118,0.8604894513782707,0.031445578494486474,0.23239068201924318,0.016824909689980218,0.1990357950480916,0.0024094085904845628
119,0.8605005311415626,0.03135703110364516,0.2323542569068084,0.01688840474862158,0.1987332642842307,0.0023934356566184334
120,0.8606572044830603,0.03125245930132867,0.23226327517304104,0.01689818724780776,0.19847678267782579,0.0024322671189732745
121,0.8608002819156632,0.0313419056173702,0.23219346352483083,0.01693909915133087,0.19827618698570815,0.002449817060722588
122,0.860766989618987,0.03111086349612167,0.23218424570450744,0.016937415023982588,0.19800559339346244,0.002433190966149803
123,0.8609957998484676,0.031161686553931766,0.2320623233309093,0.0169625638427245,0.1978152150536168,0.002429759704827165
124,0.8607469449966544,0.031117644950713133,0.2319963746944151,0.017033178614181688,0.19747942626338544,0.002420338085946815
125,0.8607562822452446,0.031153871315216637,0.23190415837061304,0.017052446868814953,0.19714663829322499,0.0025007055421331897
126,0.8608133048143326,0.031218204930049717,0.2318316642480341,0.017107156607832512,0.19678319502313607,0.0025190444199289313
127,0.8607856909550536,0.031078667876888507,0.23182365815673317,0.01711537508395242,0.19654065437003906,0.002458689756100797
128,0.8606292913701978,0.031158015109712972,0.2318428640468214,0.017075226772678094,0.19628059782931315,0.0024916103720628805
129,0.8607641782456332,0.031060933325709077,0.23181504264651354,0.017092446258311893,0.19604577618142877,0.0024568831215444056
130,0.8606258808187043,0.030865060546313643,0.23177392679111303,0.01707662001327654,0.19577496953068554,0.0025321273066719148
131,0.8606911449388436,0.030915532225542317,0.23171299343811896,0.017089948317423085,0.19559357348951312,0.002550190733727598
132,0.8610408972293413,0.030780605362929748,0.23162510303088726,0.017016847772995128,0.19535334472798754,0.002610149569793051
133,0.8609690589239701,0.030780012315290855,0.23162370145115058,0.017081416513376777,0.19503879599511653,0.0026394591201593072
134,0.8609612649113497,0.030752650967158086,0.2315815232539912,0.01708978505292553,0.1948371639014413,0.0025691927256188
135,0.8607991372371566,0.030272295716327193,0.23154415394660965,0.01706703967981418,0.1945493891985462,0.0026061393789919797
136,0.8609264790306439,0.03038563823532943,0.23148593607599013,0.017138557347607348,0.19425129569437707,0.002634566255384404
137,0.8610579036897296,0.03043505413642388,0.23139943803624807,0.017152937315169283,0.19399110877454367,0.002650484749004917
138,0.8610752342296717,0.03051236422047021,0.2313913122693599,0.017184978224845587,0.19378930244594725,0.00264382274297216
139,0.8612709769381499,0.030496712720735918,0.23124555637243294,0.017245496577101536,0.19352372456599384,0.0026435215568859642
140,0.8612705039027766,0.030425996996490748,0.23117455695247413,0.017210292146231772,0.1933206342768979,0.0026502572014191705
141,0.8612626595672446,0.03029896835863488,0.23124979682212438,0.01727120699990677,0.19301534846464813,0.002612506551857623
142,0.8613384559373924,0.030120348239123945,0.2312391768420336,0.01733093206074144,0.19271526933391678,0.0026713082635956287
143,0.8613074798366156,0.03012360793455749,0.23119888664521188,0.01736036954348344,0.1924442647562103,0.0027256450904214187
144,0.861209173021444,0.030133454615381253,0.2312206879338905,0.017375216757334534,0.19220935277687273,0.0027820858399399723
145,0.8610462247482982,0.030202537080031525,0.23120785639752137,0.01738144676948334,0.1919467203507702,0.002714196344418263
146,0.8609326539874399,0.03037910949266421,0.23123039077490212,0.017406351571416262,0.1916712095833226,0.002744679785889847
147,0.8611544176672874,0.030552245543341326,0.2311191721441752,0.01746809856073013,0.19139046572839966,0.002733593043514045
148,0.8612129083234634,0.03060218904267895,0.23111450313576812,0.01754635247826097,0.19115674036694025,0.0026770703881475867
149,0.8612639532015706,0.030407828540550713,0.23105118416494133,0.01754726058669043,0.19086260575377828,0.0026953659023209757
150,0.861388280988111,0.030575643267217123,0.23094400641424842,0.0176302598083383,0.19055627784455825,0.0026871046700499604
151,0.8614308608814373,0.03069197007800959,0.2308760743375356,0.017684751872641815,0.1903367512168552,0.002699877408880195
152,0.8615617615112654,0.030460930778816037,0.23089610237632704,0.017662256663422672,0.19008520870281734,0.0026291308003074266
153,0.8614383301435318,0.030497173941563517,0.23093545223635084,0.017687732473625803,0.18985768930341348,0.0026702153452685534
154,0.8612983398538407,0.030359685981224366,0.23100874976348412,0.01774564347579013,0.18955315034962447,0.002655626258271596
155,0.8613145002183344,0.030364572754538664,0.23099938510990703,0.01767545333345234,0.18932147528403548,0.002669453527302895
156,0.8613308840165577,0.03008717724507144,0.23097661733841085,0.017713782439401127,0.18903834265251204,0.0026307784716070185
157,0.8612898480301732,0.030079807272639796,0.23095274133928717,0.017738111228824814,0.1887796741067352,0.002644318727164766
158,0.86131447405042,0.02993046526476193,0.23095573256416904,0.017727919222542996,0.1886036751898713,0.0026253724073382824
159,0.8613456749268706,0.030002550878894474,0.23092542331773416,0.01775372538964297,0.18839864015608426,0.00263398802935287
160,0.8613388021590274,0.0301143420013825,0.23087530310175128,0.017746321024608946,0.18818241985685663,0.0026361430851124896
161,0.8614354161114373,0.029850888214953356,0.23079037252552662,0.017733540522660452,0.18795861091576935,0.0026050282062659537
162,0.8615061083963577,0.029673229243758963,0.23077881242445275,0.017695565814757012,0.1877332566097937,0.002634634634418562
163,0.8614253810517998,0.02978132229448787,0.23073308175748983,0.017658968518257472,0.1874642829701536,0.002611218637627584
164,0.861531905263025,0.029787672371791123,0.23071751592380746,0.01760759906282902,0.18721427768603988,0.0025778447575290526
165,0.8617595701430272,0.029694802392701797,0.23067133740714155,0.017616138125150334,0.18696915153458246,0.0025744990730121636
166,0.86165431541113,0.0296051986792206,0.23068975915652032,0.01759719668426008,0.18676467838192606,0.002617200513464626
167,0.8616212223931858,0.029522359968635538,0.23071722279904047,0.017600051133834834,0.18652658716472337,0.002611071833393356
168,0.8617461225189798,0.029456531290631794,0.2306876350476846,0.01762799036515749,0.18631748458642688,0.00261948665825319
169,0.861639225247233,0.029518371707025308,0.2306802848688434,0.017708293530989214,0.1860546444645122,0.0026413924585254726
170,0.8616696290087568,0.029437345070303496,0.23063912188619415,0.017677077335500405,0.18578828107578627,0.002648980721972237
171,0.8617808077538618,0.029236353422139875,0.23063203521850176,0.017585335736408723,0.1855129800514434,0.0026052492855837043
172,0.8617746569520633,0.02929831014069843,0.230639853048007,0.01769437194379594,0.18535590682491482,0.0025889139523417154
173,0.8616938792845934,0.029199193920725747,0.23065816369219777,0.01770576200143953,0.18516785344648592,0.002549741757866827
174,0.8617222654328293,0.02939639560578994,0.23063334492037896,0.017737047163831614,0.18495266589686205,0.002538361937039122
175,0.8615722904064131,0.029418106687974222,0.2306240152991156,0.017758228761657467,0.18474153025241022,0.002540359379767649
176,0.8616293378014712,0.029578380801504225,0.2305866849209505,0.017829983001296477,0.18450679139547876,0.0025470831422506604
177,0.8616402437829734,0.029860123849881227,0.23060631179303562,0.017966484609431385,0.18428192600166976,0.002569657685368236
178,0.8617312047949282,0.0297458012735943,0.23059608112768526,0.018002723125189166,0.1840926501288216,0.002625270787688735
179,0.861512951641426,0.029767744044296232,0.23063158908183373,0.018047432690502165,0.18387140291632798,0.0026255147794702156
180,0.8614804812856469,0.02974494019134331,0.23061630343094902,0.01807965022739081,0.183672852618723,0.0026736935560262146
181,0.8615132750500075,0.029816546389287896,0.23059446942702352,0.018191804225369573,0.18343053526107864,0.0026876633192496773
182,0.86137228903763,0.029892940139379324,0.23067379277537742,0.01825423863615703,0.18318347591607792,0.002728557328589944
183,0.861239470098394,0.029886299204152526,0.2306866052216046,0.018240610524061226,0.18298877209344452,0.0027487285821450073
184,0.8612476626684777,0.02980082218844271,0.23070285011092034,0.018175997650246637,0.1827548410574844,0.00275389423512869
185,0.8613272701604993,0.029824385420400834,0.23067279029801094,0.018127249479955962,0.18252823738007212,0.002722062766083324
186,0.8612961685879282,0.0295693991416526,0.2306807120454292,0.01809561036798538,0.18231117079947567,0.0027922210157502927
187,0.8610830705135379,0.029704141798588227,0.23065542124269212,0.018206510919545442,0.1821048559875354,0.002741321345764251
188,0.8610892461413062,0.029687958609904152,0.23063843602201536,0.01816579579720802,0.18195349367086458,0.002722719998592734
189,0.8610169844525016,0.02970424428348442,0.2306651614409819,0.018157474775335414,0.1817581001188928,0.0027319677703676226
190,0.8610246784902698,0.029678084794460477,0.23070498610707796,0.018187145639265913,0.18159154463312108,0.0027250435530424676
191,0.8610990061023575,0.02968401908220718,0.23068832617580776,0.018211699912831097,0.18138413857872615,0.002697733862193635
192,0.860867208704817,0.029878880474858933,0.23071542163091516,0.018244123474601776,0.1812058611167251,0.0027118058561682442
193,0.8609893705932224,0.029904763423942018,0.23063542316027225,0.018219467382817572,0.18097455695212622,0.002746934542119747
194,0.8610215920183298,0.02985486160710587,0.23064475623808728,0.018228889513241166,0.18081580448870388,0.0028081529622369654
