iterations,test-AUC-mean,test-AUC-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.7812427249219085,0.03189821087558939,0.64780707499243,0.0018833175686236412,0.6477945225926498,0.0019141651746162644
1,0.8308540291024137,0.020059746443879405,0.6048653367317397,0.0010464050626564742,0.6048286151167102,0.0010724498646986047
2,0.8464024188437677,0.017884718224924386,0.5666784346095829,0.0022624027192503144,0.5665867275080538,0.002354908995033546
3,0.8448439943057633,0.017962343694605646,0.5321598619121695,0.0026007864609823655,0.5320532621851871,0.002709473902848335
4,0.8465628289657561,0.014681270093485781,0.49921940034553247,0.0029619481710997995,0.4990129337108297,0.0032008827689038776
5,0.8519963107760116,0.013730808096347328,0.4691627399154565,0.002245322421689642,0.4688998945263176,0.002507000995719944
6,0.8534330249996078,0.013944483497769418,0.44284928575660415,0.0021636314460389363,0.4425325650895552,0.002376877337362367
7,0.8556866592987777,0.012427871111539519,0.420025873309773,0.001702100947312869,0.4196171272626693,0.001798967567039507
8,0.8584225288164922,0.012167195123853444,0.39849304656481344,0.001858020150966889,0.3979932039708488,0.0018396417118481893
9,0.8590010976529715,0.012300339954544872,0.37862002202013506,0.002075008852943802,0.3780594886926876,0.0019151774884318114
10,0.8599578979990564,0.012423946409175692,0.3618207898998242,0.0012094530244491381,0.36128912732810037,0.0008333589212980608
11,0.8614240472744916,0.011952773281453935,0.34582582400745726,0.001415835079820217,0.3452504975379125,0.0010708566316716234
12,0.8627955421044528,0.011481030293116715,0.33072932598736415,0.001443955681335655,0.3300983740066436,0.0008151202326304717
13,0.8634394905746141,0.011779318424643649,0.31637648175899813,0.0017215634760577494,0.3156828514015865,0.0011473845039967426
14,0.8635045386018907,0.01179038145664722,0.30365586696411895,0.0020430269415326434,0.30287656473137037,0.0015154438394856227
15,0.8639259928526999,0.011751719266829686,0.29267091399118395,0.0022397871579803814,0.29183381315992335,0.0016929305459868562
16,0.8643587234846514,0.011363139493171472,0.2827097602146211,0.002004150509683117,0.28182113825235244,0.0013936287275919037
17,0.8651128242523972,0.011110683217292073,0.2730095256408276,0.002016398072316256,0.27207714945817063,0.0013957713214058681
18,0.86568479562949,0.011275879063304196,0.2645222230703571,0.001955895484669591,0.26356310035133335,0.0012499741081304
